index,food_price_index,meat,dairy,cereals,oil,sugar
71,80.03834257,87.86942354,64.80648343,80.45858653,78.98752036,74.13918553
72,78.19442461,81.81032923,64.42581738,82.71756623,75.57615343,76.18141685
73,77.14465255,80.29994136,64.3299644,83.32282177,70.75167297,77.5429044
74,77.59035991,80.31359448,64.16787049,85.72874709,68.62902731,79.27570673
75,78.68476522,83.21112879,62.95740045,86.87588637,68.17056993,79.89456471
76,80.90846037,81.1979423,62.69337929,95.32510192,73.55675439,74.13918553
77,82.51279315,83.56857869,61.04091198,99.95018456,73.36821674,70.48792347
78,80.66420851,84.07671916,61.14314939,94.3382478,68.85370557,75.31501569
79,80.54045738,87.05115789,61.25167531,91.06330539,66.06842835,79.27570673
80,80.14062607,89.68394539,60.68929283,85.83425938,69.09961439,76.55273164
81,77.06180795,89.26363986,60.05011475,75.28761227,71.47007439,73.76787075
82,74.36366171,86.60436149,61.04091198,71.12894973,69.07583517,68.81700694
83,72.72296607,85.42263591,59.89067627,67.4385869,70.01142951,66.34157503
84,71.51559815,81.45322283,60.17926228,67.57742864,70.16698659,66.46534663
85,70.97138949,79.07824056,60.33647484,68.09151953,70.75777979,66.15591764
86,71.21584147,79.39923197,59.45083134,68.39172089,71.49264276,66.89854721
87,72.99880427,83.10540964,59.25146982,70.60720886,70.31972003,68.75512114
88,73.51651949,83.91655215,59.11346788,70.78857172,71.10651113,69.93095129
89,72.8858193,83.83215537,58.84969589,68.76194115,71.64676747,68.94077853
90,70.34125129,80.38417004,58.60584004,65.15899688,68.96236673,70.73546666
91,68.59153219,79.70961765,58.08366363,62.43439522,65.52835362,69.43586491
92,69.97209017,80.61742921,57.78695237,65.65820043,65.39651908,72.4063832
93,70.10727669,80.17133279,59.04505214,65.1086146,67.96456328,70.11660869
94,69.87024702,75.82181103,60.78241679,65.55985746,72.78153923,70.61169507
95,70.46243502,75.96358141,61.01254399,64.15745233,76.70513522,74.33722008
96,68.14867926,69.80521988,61.0490013,63.41552772,75.55491705,76.30518845
97,67.5143046,67.71402038,60.91099936,62.74223227,79.26237256,71.47809623
98,67.74564834,68.74233246,59.69866251,62.69628447,81.87627349,66.34157503
99,67.57813757,68.36973566,57.80738535,63.18080407,84.68154714,60.89562484
100,67.042303,68.4171277,57.61732943,60.8272526,86.00566313,59.96733788
101,66.6272902,66.83101993,56.46603826,60.18980964,89.96952623,57.12059119
102,64.40691505,66.66438721,55.56781263,59.00795639,82.75762715,50.12749606
103,64.43462438,67.02774407,55.34551276,57.51372152,83.55527933,53.46932913
104,62.57712128,64.79008982,55.44136574,54.08296665,83.17112306,52.47915637
105,62.08179358,65.07497617,53.86781376,53.90169842,84.5568036,44.73780569
106,62.87909352,64.664697,52.13704922,57.68733638,84.44213186,46.18368296
107,62.7705766,63.19311693,52.13704922,58.17810809,84.308765,49.8887937
108,62.22737347,63.76470208,52.31720012,56.83805601,82.03809335,49.98403353
109,61.20129519,62.72520614,52.40149805,57.12399978,77.30714393,50.18938186
110,58.57322466,63.27576087,51.52351012,54.9123576,68.40423852,42.20611397
111,57.1938302,63.35697579,50.74137517,55.15387671,62.30984722,37.25525016
112,56.00207454,61.69962121,48.00167692,53.6963283,64.88345736,33.5421023
113,55.55221149,62.24371779,47.35754391,52.83974627,62.2570495,35.58433362
114,54.76283835,62.66615357,47.12368899,53.6110855,54.79113445,37.34245287
115,52.79619605,62.94268734,46.3634653,51.40200516,48.63125269,33.28893313
116,54.62776219,64.75853805,46.40561426,52.95076282,52.29412103,35.58433362
117,54.83042298,63.3701787,46.81962008,52.63199033,54.07108129,41.277827
118,53.4985291,60.73565249,46.95762202,51.48057138,52.96411644,41.89668498
119,53.49837216,61.84156231,47.54805102,51.2767605,51.31824211,40.22576844
120,52.08261258,59.53540955,48.49938125,50.37077841,49.49210256,37.19336436
121,52.84517365,60.5778804,50.15485375,52.13167019,48.58311157,34.72972023
122,52.5008435,60.86233686,50.44046294,52.23907342,46.36835287,32.73758693
123,53.11600405,62.78434733,50.05705103,51.72821243,47.81903064,31.80929997
124,53.70002176,62.30781582,50.41362512,51.82244957,49.49869065,37.25525016
125,53.96677358,63.34918559,50.92741176,52.83598998,44.48930927,42.76308615
126,54.23104386,63.03406588,53.75683759,51.42594993,42.92895391,51.7984126
127,54.43372605,62.74886609,55.57520011,49.81321565,42.6675515,59.59602309
128,53.51500143,60.25082357,56.04290994,48.61617047,41.70184363,64.6087727
129,52.93123363,59.41597164,57.40884541,49.38114249,38.47035426,62.071455
130,53.69020213,59.50091418,59.10841661,51.20180163,36.37718942,66.52160644
131,54.16648548,60.35094068,59.59967839,52.12553038,37.67309155,61.45259702
132,54.80254262,60.36141995,60.09094017,53.67087963,38.13921323,62.0095692
133,54.13272442,58.3173964,59.74202166,53.91884059,37.27426626,63.88583406
134,54.61640217,62.00549002,59.46601778,52.99071574,35.8276831,61.09984798
135,55.50494588,64.89857345,59.67423371,52.1664414,38.20313786,57.39063831
136,55.00326163,65.26328999,59.50172419,50.99283926,38.03313854,54.11913001
137,55.78225573,65.57838824,61.95820485,51.70635307,36.56613286,59.31191102
138,55.20930695,63.82783739,62.38971792,51.03778816,38.84721176,55.95949575
139,56.90803486,64.13021787,62.94402846,51.71979742,47.4364945,54.42293301
140,57.01908444,64.36703026,62.53002265,51.57290073,50.0210468,50.21090735
141,55.8256681,64.28262842,62.05079678,51.15891965,45.39620169,47.28074937
142,54.53132232,62.36136507,62.84853364,51.00715959,43.29500851,42.02583795
143,55.10927633,60.64718898,60.60162784,51.8676399,48.26945905,47.48806679
144,54.60283036,59.18757772,56.9094074,52.00547656,50.60781028,48.45657953
145,53.77764244,59.39557855,52.99527414,51.6554341,49.26091578,48.18251385
146,51.99864625,57.607537,52.8353081,50.36964038,47.78557487,40.50769263
147,52.34142961,60.07055355,50.71392086,49.61017821,47.62177337,41.44801295
148,51.35145362,57.20550279,48.89490976,49.30965581,48.9686499,42.61118464
149,50.80400225,56.23346887,44.77823662,50.22782336,51.64109983,37.57544189
150,51.6241499,56.28241637,42.85506728,52.03044297,55.80374755,35.58433362
151,52.26505324,55.88324046,40.64167763,54.62011509,56.14791361,39.52618986
152,53.70528469,55.83074054,40.08100889,58.05905521,59.64718946,38.9542966
153,55.14002894,55.095962,41.63677343,63.82139355,56.67703316,43.07251513
154,55.51887844,53.4615139,42.9278011,64.35449444,58.76026061,46.476234
155,56.6414482,53.90564661,45.53520037,63.00672733,63.9056765,48.45657953
156,56.02435898,52.25563925,49.29102026,59.8401644,65.51216867,49.1992091
157,56.23903166,53.94665471,51.25635366,58.00011834,64.3232152,50.68446824
158,56.86278019,55.10130603,53.09496815,57.84258646,62.35311699,55.69721785
159,55.91947088,55.73819514,53.70871816,56.51207985,59.2341351,50.93201143
160,55.92906635,56.74901832,52.65788059,56.42583185,59.56691651,47.96149314
161,56.66898917,57.44008135,52.63450157,58.20091146,61.09159937,44.37211688
162,56.41877601,57.31412878,52.5970357,57.68224677,61.95542167,41.58725599
163,57.05978441,61.46244355,53.15265357,56.46299908,58.83860377,42.32988556
